text,intent
cate puncte sunt intre nter Milano si lider in Bndesliga 2020-2021,points_gap_to_leader
robert lewandowski cate goluri are in UEFA Champions League 2026-2027,player_goals
cat e gapul de puncte pentru universitatea craiova in Bundesliga 2018-2019,points_gap_to_leader
cate goluri are mario camora,player_goals
diferenta de puncte Petrolul Ploiesti lider premier league 2021-2022,points_gap_to_leader
cat e gapul de puncte pentru CFR Cluj in EFA Champions League 2018-2019,points_gap_to_leader
cate goluri are Antoine Griezmann,player_goals
Hrry Kane cate goluri are in La Liga 2024-2025,player_goals
goluri toni kroos 2017-2018,player_goals
cate puncte sunt intre Paris Saint-Germain si lider in Prmier League 2022-2023,points_gap_to_leader
cate puncte sunt intre juventus si lider in Srie A 2019-2020,points_gap_to_leader
diferenta de puncte real madrid lider liga 1 2017-2018,points_gap_to_leader
arata-mi programul de azi,other
U Cluj cate puncte fata de lider in Ligue 1 2026-2027,points_gap_to_leader
Rapid Bucuresti cate puncte fata de lider in Liga 1 2024-2025,points_gap_to_leader
cate goluri are Jude Bellingham,player_goals
cat e gapul de puncte pentru FC Barcelona in Ligue 1 2025-2026,points_gap_to_leader
creeaza un reminder maine,other
ce ora este,other
puncte pana la lider pentru FCSB in Bundesliga 2021-2022,points_gap_to_leader
cum gatesc paste,other
deschide youtube,other
goluri Darius Olaru 2018-2019,player_goals
deschide youtube,other
cate puncte sunt intre Paris Saint-Germain si lider in uefa champions league 2025-2026,points_gap_to_leader
cate goluri a marcat jude bellingham in Bundesliga 2018-2019,player_goals
cate goluri a marcat Rodrygo in Ligue 1 2018-2019,player_goals
deschide youtube,other
deschide youtube,other
cat e gapul de puncte pentru U Cluj in UEFA Champions League 2017-2018,points_gap_to_leader
Rapid Bucuresti cate puncte fata de lider in Ligue 1 2020-2021,points_gap_to_leader
cat e gapul de puncte pentru Inter Milano in Bundesliga 2023-2024,points_gap_to_leader
goluri Florian Wirtz in ultimele 10 meciuri,player_goals
cate goluri are Florian Wirtz in 2024-2025,player_goals
fa-mi un ceai,other
cate puncte sunt intre rapid bucuresti si lider in Serie A 2019-2020,points_gap_to_leader
cate goluri are luka modric in 2024-2025,player_goals
puncte pana la lider pentru dnamo bucuresti in UEFA Champions League 2018-2019,points_gap_to_leader
goluri Radu Dragusin in ultimele 5 meciuri,player_goals
Brussia Dortmund cate puncte fata de lider in efa champions league 2025-2026,points_gap_to_leader
cat e gapul de puncte pentru Paris Saint-Germain in premier league 2019-2020,points_gap_to_leader
cati km are maratonul,other
cat e gapul de puncte pentru Spsi OSK in Prmier League 2021-2022,points_gap_to_leader
fa-mi un ceai,other
puncte pana la lider pentru Sepsi OSK in Bundesliga 2016-2017,points_gap_to_leader
cati km are maratonul,other
puncte pana la lider pentru Farul Constanta in uefa champions league 2023-2024,points_gap_to_leader
cat e gapul de puncte pentru farul constanta in Premier League 2021-2022,points_gap_to_leader
pretul la btc,other
cate puncte sunt intre Manchester City si lider in Bundesliga 2023-2024,points_gap_to_leader
arata-mi programul de azi,other
cat e gapul de puncte pentru sepsi osk in La Liga 2016-2017,points_gap_to_leader
cate puncte sunt intre cfr cluj si lider in Liga 1 2023-2024,points_gap_to_leader
Mohamed Salah cate goluri are in Serie A 2019-2020,player_goals
goluri marcate de Vinicius Junior in UEFA Champions League 2026-2027,player_goals
goluri Robert Lewandowski 2019-2020,player_goals
Arsenal cate puncte fata de lider in Bundesliga 2019-2020,points_gap_to_leader
goluri marcate de Ciprian Deac in uefa champions league 2020-2021,player_goals
